Id,hate,offensive,neither,label,text
COM061,1,1,0,1,Pukare pukare kiyala thamai enne
COM062,0,0,0,0,"Minissu issarawage salliwalatai,kama ekataai,bonna dunnai kiyala,chande denna,mokada APi athithaye naluwo,gayakeyo,janapriya Aya desapalaneta genath hodata bata Kala inne,lankawe desapalanaya Dan wenas.anika oya Enne apita adaretada?....."
COM063,0,0,0,0,Ubata jaya malli
COM064,0,1,0,1,Gon pakaek
COM065,0,1,0,1,Hora ukanna
COM066,1,1,0,1,Muta puke arinna one ballek dala
COM067,0,1,0,1,pissu pakiyo
COM068,0,1,0,1,moda pakiyo
COM069,0,0,0,0,Hogak oya buriyani kada kotthu kada maha parimanata market karala karanni oya hugak lokkangi kalu salli sudu karanna.... kotthu karayak innawa mahajaragi gottak buriyani Karaya......... gottak....nama kiyanni nahi hoda nahi ni
COM070,0,1,0,1,whutto
COM071,1,0,0,1,Waren ashan ane Palayan bn paduwe hitapan ganith ekka nikan chorawenna epa anthimata gani bikai dekama nathiwei ubata lagadine Bande paduwe lamayek hadagena hitapan Eka respect
COM072,1,0,0,1,Ekko gothaya ellapanko malimawen ellane gu ranilage pakshen....chande denta yana ekekwth den ne me horunta
COM073,1,1,0,1,me hutthata chande dena moda pakayala innawa. boru nam balapallako chande dawase
COM074,1,1,0,1,Me wage huththalata chnde denna thram moda wenna epa
COM075,1,1,0,1,Me pnnywa mt witrd penn bry
COM076,1,1,0,1,Me mona huth ekda ban
COM077,0,1,0,1,Mu kariyek.ahuwenna epa.yako thawath rawatenna epa.malimawata Karan yanna shaktiya deepalla.
COM078,1,1,0,1,Kiri mile putheee.paduwe ganith ekka onna ohe athal eke hitahan.ranilata kiyala pumka loku karaganne nathuwa
COM079,1,0,0,1,Bika ashen den ata deka thalaaganna yanna hadannee.. anee hondai..
COM080,0,0,0,0,Puluwanda mata meka budu bana padayak sinduwa dala hdala denda
COM081,0,0,0,0,Gelpena aya hamuwenwa eka loke sobawa
COM082,0,1,0,1,Vinasai wuththo vinasayi
COM083,0,0,0,0,Dinakshie thamai hodatama kare
COM084,0,1,0,1,Donigen athwela idpn http
COM085,0,0,0,0,oya baya wenna epa lassana lamayo mata puluwan oyage duka ahanna
COM086,1,1,0,1,dasun hodata score karaddi Banuka wage patta kammali pacayala danawa bat karanna enawa witharai.jeewitheta feilding karanna enne ne.kammali pagaya
COM087,0,0,0,0,Dasun shanaka hoda captain kenek. Eth eya eliyen thibba eka hodai. Eya betek vidihata isthawara wela enna ona.
COM088,0,1,0,1,Ko huththo dasun
COM089,1,0,0,1,SUDUSSATA SUDUSU THANA DENNA KIHOMATH MUNTA OONA UNTA KADE YANA UNGE WARADI WAHANA UNWA MUN BAYAI DASUNTA
COM090,1,0,0,1,Wiyali kalapa dason lonthayage cricket iwri
COM091,0,0,0,0,Mamanam oyala dennatama godak kamathi adarei
COM092,0,0,0,0,Dukai me jeevithe prasidda aprasidda siyalu weda karana gehenun mara kattak kanne hemadema daragena
COM093,1,0,0,1,Meyalage vekara oitawada duk vidina minissu kochchara ennawada
COM094,0,0,0,0,"Kochchara mahansiyak danunath man asama job eka , mokada mage hineth ekama nisa venna athi babalage wada karan pandara nagitala, script mathaka thiyagena, kenek dialogue ekak hari waradduwoth eka sarin sare karala , samaharak vita e waraddana eka auve , wathure ganna shot ekak venna puluwn , kohoma hari shooting iwara venna ra jameta ethakan idala gedara avilla gedara wadath karala nindata yana me job ekath hithana tharam lesi na "
COM095,1,0,0,1,Moda geniyek.. ratata kelawenakan balan inne meki nam.. vedio eka dekkama appiriya una eththatama.. munta ona thamange eka raja karagena sepa widinna.. kawuruhari wetila thiyana rata godagannawata meki kemathi ne.
COM096,0,1,0,1,Puca cududa
COM097,0,1,0,1,palayan huttiye yanna
COM098,1,0,0,1,Wada wela yanna ona thadi jiwitha mewa
COM099,1,1,0,1,Mun niliyoda hora kana un kamathi hora kana unta ne kuhaka kama moone penawa ugath kamak na ekai ethana penne gon harak ganiyek mun me duppath eka wenuwen newei ktha karanne thamnge malla purawaganna go wetta pasi hamaniyan sajiya ekka
COM100,0,0,0,0,Sahodari...Balagena inna...janatha mathayata garu karanna igena ganna...rata hadanna isella…
COM101,1,1,0,1,Gon baduwak
COM102,1,1,0,1,Wesa balli...ubata hena respect kara essara...hora ganiyek no tho…
COM103,1,0,0,1,Oita wada hodai redda ussan pare giyanan
COM104,0,0,0,0,Ubata trackda yko. Eka welawaka ekak kynw. Thawa welawaka thawa ekak kiynwa
COM105,0,1,0,1,Ko utto kollonata mkuth denne na ne sibaaa
COM106,0,1,0,1,Tw aluth wuttek awilla
COM107,0,1,0,1,Hemoma inne kibalane utto kollekta dipllko uge satuta blnna
COM108,1,0,0,1,Pissu neda Mokek Hari karanawa dekkama okkoma paddo tika oka karanawa pare yana minissunta Hari karadarayak mun
COM109,1,1,0,1,Thopita pissuda pako.gon athal hutho
COM110,0,0,0,0,Mewa baladdi mat hemadama edenawa mokada mat aiya keneki nethi nisa
COM111,1,1,0,1,Vatun neme podiwttiye ud damm kiypn
COM112,0,0,0,0,Me nil wetalau palayak thiyenawa magawa meka pochchiyaka hadanna barid.
COM113,1,1,0,1,2000n passe besikayo
COM114,0,0,0,0,Koheda meka thiyenne..matath meya ekka join wenna puluwanda
COM115,0,0,0,0,Kavru monca kivat oya yana gamana yanna daruvo taman kamatide tamanta karanna puluvan
COM116,0,0,0,0,Pirunu kale diyanosele
